source_id,slug,source_url,legacy_path
716,ao-chay-bo-nam-xanh-bich-phoi-trang-hoa-tiet-dinh-nui-thoi-trang,https://mayaochaybo.vn/ao-chay-bo-nam-xanh-bich-phoi-trang-hoa-tiet-dinh-nui-thoi-trang/,/ao-chay-bo-nam-xanh-bich-phoi-trang-hoa-tiet-dinh-nui-thoi-trang/
719,ao-chay-bo-mau-xanh-ket-hoa-tiet-sam-chop-noi-bat,https://mayaochaybo.vn/ao-chay-bo-mau-xanh-ket-hoa-tiet-sam-chop-noi-bat/,/ao-chay-bo-mau-xanh-ket-hoa-tiet-sam-chop-noi-bat/
722,ao-chay-bo-nam-do-cam-vang-tank-top-the-thao-nang-dong,https://mayaochaybo.vn/ao-chay-bo-nam-do-cam-vang-tank-top-the-thao-nang-dong/,/ao-chay-bo-nam-do-cam-vang-tank-top-the-thao-nang-dong/
725,ao-chay-bo-nam-mau-vang-noi-bat-voi-hoa-tiet-chuyen-sac-hien-dai,https://mayaochaybo.vn/ao-chay-bo-nam-mau-vang-noi-bat-voi-hoa-tiet-chuyen-sac-hien-dai/,/ao-chay-bo-nam-mau-vang-noi-bat-voi-hoa-tiet-chuyen-sac-hien-dai/
728,ao-chay-bo-nam-mau-xanh-ket-ombre-vang-tank-top-thoang-khi,https://mayaochaybo.vn/ao-chay-bo-nam-mau-xanh-ket-ombre-vang-tank-top-thoang-khi/,/ao-chay-bo-nam-mau-xanh-ket-ombre-vang-tank-top-thoang-khi/
731,ao-chay-bo-nam-xanh-ngoc-hoa-tiet-chuyen-sac-thoi-trang,https://mayaochaybo.vn/ao-chay-bo-nam-xanh-ngoc-hoa-tiet-chuyen-sac-thoi-trang/,/ao-chay-bo-nam-xanh-ngoc-hoa-tiet-chuyen-sac-thoi-trang/
734,ao-chay-bo-mau-xanh-ya-phoi-gradient-thiet-ke-sat-nach-thoang-mat,https://mayaochaybo.vn/ao-chay-bo-mau-xanh-ya-phoi-gradient-thiet-ke-sat-nach-thoang-mat/,/ao-chay-bo-mau-xanh-ya-phoi-gradient-thiet-ke-sat-nach-thoang-mat/
737,ao-chay-bo-sat-nach-do-vang-nang-dong,https://mayaochaybo.vn/ao-chay-bo-sat-nach-do-vang-nang-dong/,/ao-chay-bo-sat-nach-do-vang-nang-dong/
740,ao-chay-bo-nu-hong-nhat-chuyen-sac-trang-hoa-tiet-xoay-nghe-thuat,https://mayaochaybo.vn/ao-chay-bo-nu-hong-nhat-chuyen-sac-trang-hoa-tiet-xoay-nghe-thuat/,/ao-chay-bo-nu-hong-nhat-chuyen-sac-trang-hoa-tiet-xoay-nghe-thuat/
743,ao-chay-bo-nam-khong-tay-mau-tim-than-hoa-tiet-the-thao,https://mayaochaybo.vn/ao-chay-bo-nam-khong-tay-mau-tim-than-hoa-tiet-the-thao/,/ao-chay-bo-nam-khong-tay-mau-tim-than-hoa-tiet-the-thao/
746,ao-chay-bo-nam-mau-xanh-ya-khong-tay-thoang-mat-nang-dong,https://mayaochaybo.vn/ao-chay-bo-nam-mau-xanh-ya-khong-tay-thoang-mat-nang-dong/,/ao-chay-bo-nam-mau-xanh-ya-khong-tay-thoang-mat-nang-dong/
749,ao-chay-bo-nam-chuyen-mau-xanh-navy-do-xanh-ngoc,https://mayaochaybo.vn/ao-chay-bo-nam-chuyen-mau-xanh-navy-do-xanh-ngoc/,/ao-chay-bo-nam-chuyen-mau-xanh-navy-do-xanh-ngoc/
752,ao-chay-bo-nam-phoi-mau-do-vang-xanh-noi-bat,https://mayaochaybo.vn/ao-chay-bo-nam-phoi-mau-do-vang-xanh-noi-bat/,/ao-chay-bo-nam-phoi-mau-do-vang-xanh-noi-bat/
755,ao-chay-bo-nam-xanh-bich-chuyen-sac-noi-bat,https://mayaochaybo.vn/ao-chay-bo-nam-xanh-bich-chuyen-sac-noi-bat/,/ao-chay-bo-nam-xanh-bich-chuyen-sac-noi-bat/
758,ao-chay-bo-nam-mau-xanh-ngoc-ombre-nang-dong,https://mayaochaybo.vn/ao-chay-bo-nam-mau-xanh-ngoc-ombre-nang-dong/,/ao-chay-bo-nam-mau-xanh-ngoc-ombre-nang-dong/
761,ao-chay-bo-nam-mau-do-do-phoi-den-thiet-ke-ca-tinh-thoi-trang,https://mayaochaybo.vn/ao-chay-bo-nam-mau-do-do-phoi-den-thiet-ke-ca-tinh-thoi-trang/,/ao-chay-bo-nam-mau-do-do-phoi-den-thiet-ke-ca-tinh-thoi-trang/
764,ao-chay-bo-nam-mau-trang-phoi-xanh-navy-thiet-ke-gradient-nang-dong,https://mayaochaybo.vn/ao-chay-bo-nam-mau-trang-phoi-xanh-navy-thiet-ke-gradient-nang-dong/,/ao-chay-bo-nam-mau-trang-phoi-xanh-navy-thiet-ke-gradient-nang-dong/
767,ao-chay-bo-nam-mau-vang-chuyen-cam-do-nang-dong,https://mayaochaybo.vn/ao-chay-bo-nam-mau-vang-chuyen-cam-do-nang-dong/,/ao-chay-bo-nam-mau-vang-chuyen-cam-do-nang-dong/
770,ao-chay-bo-xanh-bich-phoi-tim-hong-tank-top-the-thao-thoang-khi,https://mayaochaybo.vn/ao-chay-bo-xanh-bich-phoi-tim-hong-tank-top-the-thao-thoang-khi/,/ao-chay-bo-xanh-bich-phoi-tim-hong-tank-top-the-thao-thoang-khi/
773,ao-chay-bo-nam-mau-tim-trang-kieu-dang-the-thao-sat-nach,https://mayaochaybo.vn/ao-chay-bo-nam-mau-tim-trang-kieu-dang-the-thao-sat-nach/,/ao-chay-bo-nam-mau-tim-trang-kieu-dang-the-thao-sat-nach/
776,ao-chay-bo-mau-vang-chuyen-sac-cam-trang-thiet-ke-tanktop-the-thao-noi-bat,https://mayaochaybo.vn/ao-chay-bo-mau-vang-chuyen-sac-cam-trang-thiet-ke-tanktop-the-thao-noi-bat/,/ao-chay-bo-mau-vang-chuyen-sac-cam-trang-thiet-ke-tanktop-the-thao-noi-bat/
779,ao-chay-bo-nam-khong-tay-mau-xanh-bich-va-xam-hien-dai,https://mayaochaybo.vn/ao-chay-bo-nam-khong-tay-mau-xanh-bich-va-xam-hien-dai/,/ao-chay-bo-nam-khong-tay-mau-xanh-bich-va-xam-hien-dai/
782,ao-chay-bo-nam-mau-xanh-ket-ket-hop-xam-anh-bac-thiet-ke-hinh-hoc-nang-dong,https://mayaochaybo.vn/ao-chay-bo-nam-mau-xanh-ket-ket-hop-xam-anh-bac-thiet-ke-hinh-hoc-nang-dong/,/ao-chay-bo-nam-mau-xanh-ket-ket-hop-xam-anh-bac-thiet-ke-hinh-hoc-nang-dong/
785,ao-chay-bo-nu-hong-ombre-tim-noi-bat-ca-tinh-thoang-mat,https://mayaochaybo.vn/ao-chay-bo-nu-hong-ombre-tim-noi-bat-ca-tinh-thoang-mat/,/ao-chay-bo-nu-hong-ombre-tim-noi-bat-ca-tinh-thoang-mat/
788,ao-chay-bo-nam-mau-tim-ombre-sat-nach-thiet-ke-thoi-trang-mat-me,https://mayaochaybo.vn/ao-chay-bo-nam-mau-tim-ombre-sat-nach-thiet-ke-thoi-trang-mat-me/,/ao-chay-bo-nam-mau-tim-ombre-sat-nach-thiet-ke-thoi-trang-mat-me/
791,ao-chay-bo-nam-mau-gradient-vang-cam-do-noi-bat,https://mayaochaybo.vn/ao-chay-bo-nam-mau-gradient-vang-cam-do-noi-bat/,/ao-chay-bo-nam-mau-gradient-vang-cam-do-noi-bat/
794,ao-chay-bo-nam-mau-xanh-gradient-hoa-tiet-doi-xung,https://mayaochaybo.vn/ao-chay-bo-nam-mau-xanh-gradient-hoa-tiet-doi-xung/,/ao-chay-bo-nam-mau-xanh-gradient-hoa-tiet-doi-xung/
797,ao-chay-bo-nam-xanh-ngoc-gradient-thiet-ke-khong-tay-thoang-mat,https://mayaochaybo.vn/ao-chay-bo-nam-xanh-ngoc-gradient-thiet-ke-khong-tay-thoang-mat/,/ao-chay-bo-nam-xanh-ngoc-gradient-thiet-ke-khong-tay-thoang-mat/
800,ao-chay-bo-nam-ba-lo-mau-trang-phoi-soc-the-thao,https://mayaochaybo.vn/ao-chay-bo-nam-ba-lo-mau-trang-phoi-soc-the-thao/,/ao-chay-bo-nam-ba-lo-mau-trang-phoi-soc-the-thao/
803,ao-chay-bo-khong-tay-trang-phoi-tim-vang-do-thiet-ke-the-thao-nang-dong,https://mayaochaybo.vn/ao-chay-bo-khong-tay-trang-phoi-tim-vang-do-thiet-ke-the-thao-nang-dong/,/ao-chay-bo-khong-tay-trang-phoi-tim-vang-do-thiet-ke-the-thao-nang-dong/
