sourceProductId	variant	targetSlug	targetName	targetSku	sourceImageUrl	targetImageFile
4026	adult	ao-bong-da-nguoi-lon-x24-bd-25-tim-than-018	Áo bóng đá người lớn X24-BĐ-25 màu Tím than	X24-BD-DBX-ADULT-018	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-25-tim-than-018.webp	ao-bong-da-nguoi-lon-x24-bd-25-tim-than-018.webp
4027	kids	ao-bong-da-tre-em-x24-bd-26-cam-019	Áo bóng đá trẻ em X24-BĐ-26 Eclipse màu Cam	X24-BD-DBX-KID-019	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-26-cam-019.webp	ao-bong-da-tre-em-x24-bd-26-cam-019.webp
4027	adult	ao-bong-da-nguoi-lon-x24-bd-26-cam-019	Áo bóng đá người lớn X24-BĐ-26 Eclipse màu Cam	X24-BD-DBX-ADULT-019	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-26-cam-019.webp	ao-bong-da-nguoi-lon-x24-bd-26-cam-019.webp
4028	kids	ao-bong-da-tre-em-x24-bd-26-hong-020	Áo bóng đá trẻ em X24-BĐ-26 Eclipse màu Hồng	X24-BD-DBX-KID-020	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-26-hong-020.webp	ao-bong-da-tre-em-x24-bd-26-hong-020.webp
4028	adult	ao-bong-da-nguoi-lon-x24-bd-26-hong-020	Áo bóng đá người lớn X24-BĐ-26 Eclipse màu Hồng	X24-BD-DBX-ADULT-020	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-26-hong-020.webp	ao-bong-da-nguoi-lon-x24-bd-26-hong-020.webp
4029	kids	ao-bong-da-tre-em-x24-bd-26-tim-than-021	Áo bóng đá trẻ em X24-BĐ-26 Eclipse màu Tím than	X24-BD-DBX-KID-021	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-26-tim-than-021.webp	ao-bong-da-tre-em-x24-bd-26-tim-than-021.webp
4029	adult	ao-bong-da-nguoi-lon-x24-bd-26-tim-than-021	Áo bóng đá người lớn X24-BĐ-26 Eclipse màu Tím than	X24-BD-DBX-ADULT-021	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-26-tim-than-021.webp	ao-bong-da-nguoi-lon-x24-bd-26-tim-than-021.webp
4030	kids	ao-bong-da-tre-em-x24-bd-26-trang-022	Áo bóng đá trẻ em X24-BĐ-26 Eclipse màu Trắng	X24-BD-DBX-KID-022	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-26-trang-022.webp	ao-bong-da-tre-em-x24-bd-26-trang-022.webp
4030	adult	ao-bong-da-nguoi-lon-x24-bd-26-trang-022	Áo bóng đá người lớn X24-BĐ-26 Eclipse màu Trắng	X24-BD-DBX-ADULT-022	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-26-trang-022.webp	ao-bong-da-nguoi-lon-x24-bd-26-trang-022.webp
4031	kids	ao-bong-da-tre-em-x24-bd-26-xanh-ve-chai-023	Áo bóng đá trẻ em X24-BĐ-26 Eclipse màu Xanh ve chai	X24-BD-DBX-KID-023	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-26-xanh-ve-chai-023.webp	ao-bong-da-tre-em-x24-bd-26-xanh-ve-chai-023.webp
4031	adult	ao-bong-da-nguoi-lon-x24-bd-26-xanh-ve-chai-023	Áo bóng đá người lớn X24-BĐ-26 Eclipse màu Xanh ve chai	X24-BD-DBX-ADULT-023	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-26-xanh-ve-chai-023.webp	ao-bong-da-nguoi-lon-x24-bd-26-xanh-ve-chai-023.webp
4032	kids	ao-bong-da-tre-em-x24-bd-34-den-024	Áo bóng đá trẻ em X24-BĐ-34 màu Đen	X24-BD-DBX-KID-024	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-34-den-024.webp	ao-bong-da-tre-em-x24-bd-34-den-024.webp
4032	adult	ao-bong-da-nguoi-lon-x24-bd-34-den-024	Áo bóng đá người lớn X24-BĐ-34 màu Đen	X24-BD-DBX-ADULT-024	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-34-den-024.webp	ao-bong-da-nguoi-lon-x24-bd-34-den-024.webp
4033	kids	ao-bong-da-tre-em-x24-bd-34-trang-025	Áo bóng đá trẻ em X24-BĐ-34 màu Trắng	X24-BD-DBX-KID-025	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-34-trang-025.webp	ao-bong-da-tre-em-x24-bd-34-trang-025.webp
4033	adult	ao-bong-da-nguoi-lon-x24-bd-34-trang-025	Áo bóng đá người lớn X24-BĐ-34 màu Trắng	X24-BD-DBX-ADULT-025	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-34-trang-025.webp	ao-bong-da-nguoi-lon-x24-bd-34-trang-025.webp
