sourceProductId	targetSlug	targetName	targetSku	sourceImageUrl	targetImageFile
4041	ao-bong-da-tre-em-x24-bd-32-xanh-ve-chai-033	Áo bóng đá trẻ em X24-BĐ-32 màu Xanh ve chai	X24-BD-DBX-KID-033	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-32-xanh-ve-chai-033.webp	ao-bong-da-tre-em-x24-bd-32-xanh-ve-chai-033.webp
4042	ao-bong-da-tre-em-x24-bd-070819-cam-034	Áo bóng đá trẻ em mẫu thiết kế riêng màu Cam	X24-BD-DBX-KID-034	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-070819-cam-034.webp	ao-bong-da-tre-em-x24-bd-070819-cam-034.webp
4043	ao-bong-da-tre-em-x24-bd-2cdc3f-den-035	Áo bóng đá trẻ em mẫu thiết kế riêng màu Đen	X24-BD-DBX-KID-035	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-2cdc3f-den-035.webp	ao-bong-da-tre-em-x24-bd-2cdc3f-den-035.webp
4044	ao-bong-da-tre-em-x24-bd-9453d6-do-do-036	Áo bóng đá trẻ em mẫu thiết kế riêng màu Đỏ đô	X24-BD-DBX-KID-036	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-9453d6-do-do-036.webp	ao-bong-da-tre-em-x24-bd-9453d6-do-do-036.webp
4045	ao-bong-da-tre-em-x24-bd-5f10e3-tim-than-037	Áo bóng đá trẻ em mẫu thiết kế riêng màu Tím than	X24-BD-DBX-KID-037	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-5f10e3-tim-than-037.webp	ao-bong-da-tre-em-x24-bd-5f10e3-tim-than-037.webp
4046	ao-bong-da-tre-em-x24-bd-710785-trang-038	Áo bóng đá trẻ em mẫu thiết kế riêng màu Trắng	X24-BD-DBX-KID-038	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-710785-trang-038.webp	ao-bong-da-tre-em-x24-bd-710785-trang-038.webp
4047	ao-bong-da-tre-em-x24-bd-50e2af-hong-039	Áo bóng đá trẻ em mẫu thiết kế riêng màu Hồng	X24-BD-DBX-KID-039	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-50e2af-hong-039.webp	ao-bong-da-tre-em-x24-bd-50e2af-hong-039.webp
4048	ao-bong-da-tre-em-x24-bd-c8c95d-tim-than-040	Áo bóng đá trẻ em mẫu thiết kế riêng màu Tím than	X24-BD-DBX-KID-040	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-c8c95d-tim-than-040.webp	ao-bong-da-tre-em-x24-bd-c8c95d-tim-than-040.webp
4049	ao-bong-da-tre-em-x24-bd-051013-trang-041	Áo bóng đá trẻ em mẫu thiết kế riêng màu Trắng	X24-BD-DBX-KID-041	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-051013-trang-041.webp	ao-bong-da-tre-em-x24-bd-051013-trang-041.webp
4050	ao-bong-da-tre-em-x24-bd-7ac57b-xanh-duong-042	Áo bóng đá trẻ em mẫu thiết kế riêng màu Xanh dương	X24-BD-DBX-KID-042	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-7ac57b-xanh-duong-042.webp	ao-bong-da-tre-em-x24-bd-7ac57b-xanh-duong-042.webp
